lineId,season,name,team,iceTimeRank,dZoneGiveawaysAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,blockedShotAttemptsFor,hitsFor,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,goalsFor,goalsAgainst,corsiPercentage,xGoalsFor,shotsOnGoalFor,flurryScoreVenueAdjustedxGoalsFor,fenwickPercentage,playContinuedOutsideZoneFor,netGoals
84734268473571,2013,Weber-Mcbain,BUF,164.0,20.0,43.0,16.0,71.0,196.0,10.0,86.0,109.0,7.0,19.0,0.39,9.75,151.0,9.26,0.4,92.0,-12.0
84717298471761,2013,Butler-Russell,CGY,205.0,43.0,68.0,10.0,91.0,174.0,3.0,110.0,127.0,14.0,18.0,0.4,15.82,183.0,15.52,0.43,106.0,-4.0
84706018474568,2013,Coburn-Schenn,PHI,345.0,2.0,5.0,0.0,6.0,26.0,0.0,8.0,10.0,0.0,3.0,0.41,1.88,15.0,1.76,0.46,9.0,-3.0
84674968471296,2013,Markov-Emelin,MTL,170.0,61.0,87.0,14.0,145.0,252.0,15.0,132.0,175.0,23.0,20.0,0.47,24.03,295.0,23.5,0.48,146.0,3.0
84649818470378,2013,Benoit-Sarich,COL,118.0,36.0,62.0,20.0,154.0,274.0,8.0,117.0,190.0,18.0,19.0,0.48,18.51,263.0,18.07,0.46,111.0,-1.0
84741258476853,2013,Rielly-Gunnarsson,TOR,395.0,1.0,4.0,3.0,12.0,30.0,1.0,7.0,15.0,2.0,1.0,0.41,1.13,12.0,1.14,0.33,7.0,1.0
84661828474574,2013,Tallinder-Myers,BUF,123.0,32.0,66.0,13.0,110.0,242.0,12.0,119.0,154.0,12.0,25.0,0.46,16.6,223.0,15.86,0.44,135.0,-13.0
84673318474027,2013,Stuart-Braun,S.J,199.0,29.0,34.0,6.0,87.0,165.0,10.0,66.0,80.0,13.0,6.0,0.53,14.43,188.0,14.17,0.55,100.0,7.0
84741628474594,2013,Muzzin-Voynov,L.A,441.0,22.0,13.0,2.0,39.0,42.0,0.0,12.0,25.0,5.0,4.0,0.66,6.18,76.0,6.16,0.66,41.0,1.0
84706078475181,2013,Leddy-Seabrook,CHI,437.0,5.0,9.0,0.0,21.0,24.0,1.0,7.0,17.0,6.0,2.0,0.61,3.93,35.0,3.92,0.6,27.0,4.0
